,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
CST1, 0.00000000, 0.03203738, 0.00000000, 1.79454784, 0.05173697,10.50624510, 0.11050916, 0.00000000, 0.00000000, 0.01525207, 0.00000000, 0.01460030, 0.35102764, 0.05389399, 0.08927021, 0.08185832, 0.20957977, 0.00000000, 5.38673150, 0.00000000, 0.02201727
ANXA1,2.5831937,7.3853552,8.1741775,0.5546882,5.3809036,0.4281812,6.6849030,3.6335158,6.6086953,1.5729061,3.9938064,6.9455456,8.2079540,8.8386685,5.8895585,5.5079455,6.3394330,6.3447093,7.3251671,7.8976515,6.8405365
MIR205HG,4.37570022,0.05694222,0.20580986,2.47456054,0.01175698,0.07886912,4.18313392,1.47593111,0.09141514,1.29728987,0.56200392,8.17454111,5.60753542,0.09811494,0.98170302,4.85465355,0.01883323,0.00000000,0.01142272,0.00000000,5.82282656
AC068134.8,6.18239102,0.01378156,1.34222581,0.04572086,0.00000000,2.59706981,2.15114199,0.11532790,0.02232679,0.01952950,0.04689141,2.34186449,6.95480351,0.00000000,0.30319216,6.80041245,0.15416824,0.09242361,0.75041289,0.03897760,5.92627989
ANXA8,2.95641462,0.10713838,0.14751250,0.03582392,0.08059145,0.01287800,5.93384992,2.82006324,0.60093419,0.11382728,0.72445676,7.22463397,5.88328541,0.34890824,0.30883318,5.71953254,0.51372793,1.48656083,3.60374428,3.61571168,5.91112085
TNFAIP2,5.93651798,0.39855942,1.52707450,3.66789473,5.28698437,0.09127293,6.24002643,6.78535927,0.66389975,2.41107090,1.25820399,7.68646013,6.55305726,0.17960449,5.60106561,5.83763092,2.47574147,5.59845227,4.28490188,5.20896229,5.94221201
EHF,4.03881595,0.16992844,0.08262859,6.49142866,3.71745240,0.66324461,3.64981993,2.67314870,0.15215508,3.96257428,6.29556829,6.47973007,5.36843759,6.68933378,3.89389585,5.81196122,0.07109394,0.02348491,4.08693474,0.68831200,5.65837494
FKBP10,5.2747703,5.8269876,6.4488077,1.5874028,6.8583560,5.1224527,5.1656133,0.4277126,5.6159308,1.5905192,0.2737855,4.7946507,5.3030370,5.0859562,5.9251500,5.8113849,7.5232710,1.0813376,0.2415008,6.0101944,0.4759776
GJA1,0.09661345,6.82669569,1.45859836,0.12924770,0.66319395,0.07175324,0.19368060,0.29479368,2.74395240,7.16649381,0.12758496,3.88917426,0.28796634,0.18820200,1.33261409,1.29111068,7.02399980,5.06267631,1.96691755,0.40597375,0.46899772
PTRF,6.5822623,8.2880215,7.6337468,0.3946085,4.9544747,0.2045232,5.0040724,3.7405197,6.5691720,1.1380415,3.3783070,4.8758010,7.2290676,2.2419962,7.2643943,5.5922758,8.2137929,5.8413316,7.7319875,5.7918060,5.7092025
PRSS8,5.12460064,0.09263554,1.29376574,5.78576355,0.75421536,1.85245569,4.96036905,6.25280155,0.32139476,6.18982486,4.06862758,4.85270447,5.43041988,5.70160862,4.90771148,4.93571639,0.03891453,0.23047140,0.18628907,0.17563149,5.18798961
TIMP1,3.7131441,5.5865309,6.1911425,0.3758947,3.3607725,7.0707132,5.4113362,0.6928627,5.6550371,4.8309225,0.3446353,4.0128108,5.2516410,0.8004934,3.6708891,4.9375351,6.0328742,7.5737244,7.3415066,9.3171579,3.7719580
SFN,6.9041985,0.4088066,4.0191872,3.2742352,1.6277413,5.6155615,7.3888009,1.4669748,6.3665338,4.8499045,7.5115181,6.4621299,7.9400507,6.6189513,5.5403671,5.9532713,4.7408411,0.8647983,6.0903457,1.2427958,7.9261992
SCG2,0.30109912,4.58404072,7.57901399,0.19189572,0.62896082,6.86479324,0.63973047,0.19184289,4.91306516,0.43046050,0.35251394,0.52317867,0.08946239,0.07714954,2.34721422,2.03295089,6.47055313,2.16284582,1.15610229,2.47277053,0.33501525
