,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
C1S,3.62042468,3.08894841,0.44022876,0.09208233,2.54281119,0.30311550,4.93090911,4.72487800,7.69078375,0.32823476,0.18074044,2.58133335,2.35998703,0.23327283,2.00367651,3.24742980,4.71087883,2.04328642,0.44896585,7.36323512,0.38859144
PRSS23,4.6356251,5.3221536,5.4762777,0.6513346,2.6710737,0.2852138,3.5803958,1.6212682,5.8143061,8.1350849,0.4285610,3.9606797,4.1302282,0.8636626,5.4950197,5.4636522,7.2658986,5.2179130,7.2505653,4.3244838,3.3723273
ELF3,6.02680894,0.63820432,1.02553491,5.99844435,3.35473135,0.19461483,4.80393008,5.84179764,0.36136243,3.45073906,5.99090455,5.00564999,5.69682345,5.11560760,4.18904527,4.66831024,0.06681106,0.55381934,1.27464247,1.67393595,5.90905760
ANXA8L1,2.71886656,0.19578004,0.10043006,0.05352279,0.06207793,0.01354843,5.64532805,2.80795320,0.50883070,0.08078410,0.76386134,6.70919585,5.19186030,0.37462336,0.22506906,5.18174736,0.49157505,1.10495789,3.18578874,3.41975989,5.47979247
COL6A3,0.07525150,0.25748733,0.17094860,0.11285018,0.07292156,0.48595985,0.23817121,4.69266605,2.50352467,0.07346122,0.05671992,0.08556663,0.33568274,0.33799360,1.12582413,2.18895430,9.71416878,3.22117260,2.32065892,0.07619298,0.23845339
GPRC5A,6.2282894,3.7406022,6.7052339,2.1392366,4.3593615,0.1000920,6.5074606,3.4433445,0.9369794,2.0146704,0.6554024,4.8111784,4.9314421,4.2132805,4.8958271,7.5594012,1.0112862,0.2617299,6.2287581,4.2757929,5.4149807
CTC-518B2.12,0.11745070,0.00000000,0.00000000,0.00000000,0.28818266,0.00000000,2.86409412,5.04220709,0.00000000,0.00000000,1.23710782,2.98383899,8.02285220,0.04903668,3.58094444,4.37342237,0.00000000,0.00000000,0.00000000,0.00000000,4.07145688
COL4A2,3.50697748,4.29648455,2.91793973,0.16153616,6.48813569,1.42959612,4.69208111,0.37877422,4.34928501,0.07435565,0.83585824,4.95174449,3.41331557,0.27681957,4.40071673,2.18412055,8.04528124,7.09497375,4.46082494,3.98063827,2.57593561
OBP2B,0.01202022,0.00000000,0.00000000,5.18456076,0.00000000,0.00000000,5.21610047,0.92257215,0.36478730,0.00000000,8.47682591,0.07680946,0.86970157,1.47522913,0.87452276,0.01501497,0.00000000,0.01591799,0.00000000,0.00000000,2.95964525
PEG10,0.4308383,4.7402611,4.3164608,8.0542628,8.5202470,5.5286128,0.5408070,1.3598035,4.0119359,7.1552858,4.2886518,3.1797393,3.5090311,7.2748945,3.7218473,4.2358924,3.1555169,7.9763845,3.6927083,5.3674551,5.0146548
MT1E,5.0016647,6.7313161,6.2524626,0.2135845,4.7433856,3.6567665,0.1546117,0.2704777,0.3242675,1.8615778,0.9397851,3.4670679,2.6222813,0.1613249,6.1571017,3.7489608,2.8111138,3.8896292,7.0075160,4.1011125,4.5228445
MIR3652,5.81021545,7.10399288,6.70155363,4.93205450,5.67888238,7.11209536,5.91530034,5.51446184,0.64772795,5.66688808,5.13447082,7.69040099,0.86550972,5.84550489,5.40589168,5.40112886,0.98236670,6.61243727,6.69196550,0.09906199,5.96864008
IL8,0.97486490,6.55303370,1.20516472,0.29813641,0.66250872,0.89497999,6.64566899,0.51925012,2.91437400,2.59312334,0.85401597,3.05115184,0.59325370,0.06999333,1.46188388,1.42313477,6.02416217,2.66064729,1.60570975,7.42542312,3.14727170
BSPRY,4.63340935,0.02790896,0.11206466,5.17331618,0.87924235,4.49228242,3.66794777,3.12399317,0.28944863,4.72731786,6.83218163,2.36415015,4.11244889,6.13475531,4.68663410,2.91601091,0.01047358,0.03833473,0.13931254,0.27617724,4.18673163
PTX3,0.06888136,1.27678701,2.09112841,0.07995418,4.18565114,0.02348816,3.85349641,6.47584510,2.81000946,0.06285271,0.26590082,1.53957760,1.09373404,0.67179258,1.29385855,1.67180461,5.10942865,6.44383731,4.93480289,6.05750395,0.43762633
PROM2,6.0518371,0.1356121,1.3698903,5.6500531,0.1083842,2.0415355,4.9051067,3.5512587,0.3962415,5.0369405,3.7293928,4.3322576,5.6497964,4.9808384,4.5960416,5.4760182,0.2546041,0.6931165,1.3192591,0.2804817,5.9410795
EDIL3,0.06014526,4.21505495,4.06943879,0.06107936,0.07030480,0.04287516,2.54621293,5.14688419,5.99348765,0.11849522,0.20255161,1.73662881,0.09665340,0.05324850,1.03397123,2.35352404,6.14312814,4.71636860,4.82640321,0.26059142,0.18338785
KRT8,10.519121, 3.724369, 8.299554, 6.993519, 7.789922, 7.401544, 7.981957, 8.966052, 3.351790, 7.998056, 9.220742, 7.532401,10.027283, 7.138699, 8.981638, 9.001940, 3.134421, 6.672035, 8.428382, 3.050762, 9.857305
CCND1,6.2740087,4.5342870,7.3450492,0.6517361,7.3416113,5.0123777,9.2217157,6.1555883,6.2391908,9.0622570,7.9925653,6.7608944,7.4174556,0.6435381,8.2995828,7.1826836,6.7057561,4.1609125,7.8219882,5.8551957,6.6241534
PLTP,0.22425904,5.78887761,5.79060921,0.08762212,4.66747184,0.02484232,0.82028703,3.18246452,2.78642299,0.19074828,0.12567236,6.20728189,2.65948108,5.66603292,2.28270746,4.98802733,3.40785641,1.51450796,1.54181754,5.43981389,0.29126212
CASP14,2.137494721,0.156680518,0.017586733,0.035279846,0.009411793,0.000000000,3.460180393,0.000000000,0.189818245,0.708775534,0.000000000,0.007870018,4.587109997,0.000000000,0.000000000,4.921611068,0.007561657,0.000000000,0.022752228,1.124350269,8.416254924
S100P,5.63364692,0.19254330,0.42418487,0.65093652,1.22847340,0.25357698,3.55790280,0.52818393,1.53474196,0.48358950,0.98116911,3.16936132,7.41131482,2.24699923,1.64652608,7.09305982,0.03791433,0.50768644,1.13230360,1.82619040,4.64877185
LXN,0.14983207,1.53352051,4.20453876,0.04641968,2.42356836,0.01172874,3.41764833,3.43118106,0.16805044,3.99753545,2.30610175,0.05622042,6.76797397,2.28283321,6.14475812,6.42929410,0.70142106,1.19534532,3.04958984,0.17011574,5.35378434
CDH2,0.11036930,5.74001448,4.34546142,0.06447885,2.45894223,0.01846683,4.73541534,4.10686849,5.74001582,2.09577600,0.16967499,0.72597653,0.17485078,0.13386067,2.98087103,2.79085208,7.16332506,3.53955867,0.56059884,4.74254649,1.37909606
MYEOV,2.98840377,0.21174943,4.49159050,0.07685584,2.54930290,1.34592814,3.79429488,0.18048236,0.31218541,3.55697748,6.44742973,3.39565468,4.91663376,0.01715694,0.52629795,5.38740866,0.65305924,0.20548696,6.32922109,0.52638512,4.77336008
DSG3,0.010591742,0.051889454,0.010348824,0.072473665,0.013790091,0.002376797,5.362287522,0.026839882,0.104150641,0.073133787,7.108368916,2.548777351,2.594262064,1.153162805,6.439860679,1.042377115,0.013288923,0.014028556,0.002689631,0.033643107,0.068385205
CLDN3,1.68587225,0.41496686,1.74802697,6.10940059,3.75901438,2.33229707,4.35199397,2.15465566,0.14835238,5.35975412,5.79839892,2.74552877,4.81118779,6.77009281,6.62396619,4.71592545,0.03812009,0.32705791,1.01468635,1.72421167,4.68737077
CTAG2,0.06740733,0.02817138,0.07048400,0.02105281,0.07510586,0.01317493,0.05651105,6.21690672,0.24069551,0.12872831,0.04814537,5.22490241,0.04735105,0.01200540,0.03424820,5.47350684,3.40748341,5.27168586,0.02965105,0.00000000,0.14800339
TFPI,0.06885998,3.98897404,7.03225210,0.16829267,6.17639430,0.03847304,0.08820311,0.11629058,0.40449126,1.68846227,0.13120815,3.18927486,1.66425478,0.04986400,1.06132059,1.52370444,5.66341043,3.57180795,4.39107298,0.60117610,2.91865627
LOX,0.2003946,6.9677454,3.5737638,0.5664178,1.0618861,0.2115636,4.0820883,2.5616737,2.4756256,0.5831394,0.4968491,1.7679829,0.5705408,2.9190304,2.3314927,1.3306560,8.8151359,2.5771819,4.5588927,1.4747448,0.7278374
STEAP4,5.230011637,0.022912586,0.032307945,0.018329732,0.023941789,0.038620781,1.934803610,6.525650078,0.073166952,0.355312479,0.041968580,0.521139424,3.997412524,0.004188412,4.634568241,3.463235484,0.008589248,0.013580908,0.081065715,0.034875576,5.233735811
LEPREL1,5.00322888,6.48950550,4.98267421,0.08025670,3.10648403,0.07762659,5.64684575,3.98009494,5.30156639,0.07893553,0.48881233,3.37648326,6.63017801,0.61823790,5.90163340,3.49791858,6.10281544,3.28939895,3.90925688,1.49078564,3.03292777
SAA1,0.61558620,0.31895420,0.10834337,0.26345286,0.54380207,0.05064044,5.33057009,3.90745055,0.55714005,0.29886503,2.50313945,4.28057200,6.13426352,0.00000000,0.39157931,4.55549453,0.23660903,2.76522367,4.29958395,5.63686664,4.70122576
TFF3,0.041448337,0.146054518,0.106863055,3.574098139,0.113778017,0.570684826,0.106586931,0.133871776,0.113700820,9.965509174,0.195030198,0.175733568,0.000000000,0.020423645,0.009821969,0.061755718,0.020969569,0.097030952,1.128874761,0.078602162,0.258034209
WBP5,4.8864286,2.7831973,6.9223762,0.2627622,7.7616455,6.1293833,4.1085996,6.9735876,4.7340866,0.2665655,2.3416130,5.3352445,5.4029100,5.0268459,5.2288417,5.7885626,5.9598131,5.4279275,6.4906196,6.9804210,0.6098646
GPX3,0.2521868,1.0307346,2.6397844,1.4383025,3.6928725,0.2972845,0.6037756,1.3904774,2.4930836,0.1691869,0.4122890,6.2723951,6.5017794,2.1088065,6.0269951,3.9541897,0.1846548,3.2495400,6.0470918,0.6382930,0.4436847
Sample,BT20,BT549,CAL120,CAL148,CAL51,DU4475,HCC1143,HCC1187,HCC1395,HCC1500,HCC1599,HCC1806,HCC1937,HCC2157,HCC38,HDQP1,HS578T,MDAMB157,MDAMB231,MDAMB436,MDAMB468
BRCAness,BRCA-like,Non-BRCA-like,BRCA-like,Non-BRCA-like,Non-BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,Non-BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,BRCA-like,Non-BRCA-like,BRCA-like,BRCA-like
